Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 18:51:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:26] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjMsInNlc3Npb25faWQiOjF9.9zkoZ8JVN33Wcc6Z1Tl4wdBI5YHwy9EwCoq2ak4l85k&u_id=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 18:51:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjF9.CmKKU1QOTFILRQgttNcTxyQvTSoSk9IPikE6zuqHpcs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjJ9.RraWxXi2z4IWNp6nmFnvdkyxnQvTPJhIsyscEGQ0Wro&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjJ9.RraWxXi2z4IWNp6nmFnvdkyxnQvTPJhIsyscEGQ0Wro&u_id=1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZuPX6mvuAoch7cV4NH0CPyWE_X0_RWIvkb13ffzMQVo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 18:51:28] "DELETE /clear/v1 HTTP/1.1" 200 -
